seed,regime,output,method,n_runs,rmse_mean,rmse_ci_low,rmse_ci_high,mae_mean,mae_ci_low,mae_ci_high,r2_mean,r2_ci_low,r2_ci_high
42,noise_free,Output1,cubic,119,0.04751190624727713,0.03803012905267716,0.05695877263873056,0.04195548175730777,0.03385446913974227,0.05095987963808046,0.9891966745057145,0.984526331457506,0.9933200877491323
42,noise_free,Output1,rbf,440,0.06078574636990265,0.054714163899887265,0.06708973553861766,0.05202970832530275,0.047118459763195404,0.057134371889699255,0.9859908431925336,0.9807509953554753,0.9901309119118346
42,noise_free,Output2,cubic,109,0.1649176620181219,0.13303910034589553,0.19572057210873559,0.12359759195163203,0.09639469745529138,0.15238192853905824,0.8616627104223962,0.7301228083684682,0.9635846252588209
42,noise_free,Output2,rbf,440,0.13073386198795123,0.1195147250373897,0.14281283584357538,0.10840937844861535,0.09908676225957497,0.11766397643948172,0.8895165272862515,0.744140772741995,0.9728844473109789
42,noise_free,Output3,cubic,109,0.006919501461944765,0.006188467964978437,0.007644525396496736,0.006174571401663186,0.005440857443924904,0.006907649785049135,0.9997107157196088,0.9995005465875232,0.9998410661026612
42,noise_free,Output3,rbf,440,0.059485247960940964,0.05280012721686806,0.06657003328528938,0.046905886303307366,0.04158723246068716,0.054132404658919726,0.9832167480399928,0.9752742528963073,0.9894596797478935
42,noisy,Output1,cubic,113,0.0966280186749503,0.08828605261283792,0.10569231827347714,0.0854545272294712,0.07802041476837948,0.0937958317335802,0.9639472713726973,0.9504775331427612,0.9756114195455727
42,noisy,Output1,rbf,440,0.19445012755676255,0.18228846923726563,0.20746298924985584,0.16609206374081992,0.15525933522153273,0.1774602746284073,0.8480192766090046,0.798450960672377,0.8880662198512941
42,noisy,Output2,cubic,125,0.9613631710591743,0.8770943455670714,1.05098318838663,0.8311721374242407,0.7464849645986983,0.9140483340393352,-0.5133325073364186,-1.5475375223738443,0.19391843536618641
42,noisy,Output2,rbf,440,2.1609554511072298,2.0287935641288652,2.304150029505266,1.8483545557918994,1.7153571856412964,1.9663260990590818,-10.847754809825311,-17.39812398763592,-5.672991148507732
42,noisy,Output3,cubic,126,1.560030518445294,1.431755734101157,1.6878388083290758,1.3374604205349665,1.2260352546565283,1.4479536405199775,-6.894947259459386,-8.751879548329716,-5.216207197314732
42,noisy,Output3,rbf,440,3.7245525290958996,3.521736703911006,3.924912725690825,3.129401921239704,2.9621336043609845,3.312808801289068,-52.258615967729,-71.88784627965202,-36.59916274606077
52,noise_free,Output1,cubic,126,0.047055319724854106,0.037924447234623515,0.05624039157936215,0.04157967268217782,0.03374072352919291,0.049768572006605526,0.987821873270329,0.9824873175407247,0.9925515648151018
52,noise_free,Output1,rbf,440,0.06354270447359017,0.05747440613435535,0.06986420422166796,0.05333878718054975,0.04823252420708205,0.05853381060134402,0.9868316287068901,0.9827605398545527,0.9898606315028835
52,noise_free,Output2,cubic,107,0.15594194519703514,0.12426373762430787,0.19125182086337145,0.12309340503903769,0.09440937521000092,0.15206901949723864,0.8466087221472908,0.7219313587281624,0.9460958239779448
52,noise_free,Output2,rbf,440,0.13105188983726707,0.1197696283554637,0.1420485346224627,0.10736296010706955,0.098590047304997,0.11619768781683353,0.9400622777441383,0.8768243964467176,0.9799846440132667
52,noise_free,Output3,cubic,100,0.007466886418522184,0.0067019401738336645,0.008262391669898422,0.0066973064449874185,0.005933781911040303,0.0074491783787075366,0.9997044404221092,0.9995964839134442,0.999797727514964
52,noise_free,Output3,rbf,440,0.05791629630403174,0.050490306720885815,0.06638116544939279,0.04655049066217161,0.04046658874189334,0.05378724430580089,0.9834896239275128,0.9764050106527232,0.9893202582663397
52,noisy,Output1,cubic,103,0.08666900929181444,0.07574314761430262,0.09907275462923394,0.07524899412678977,0.06597611658160801,0.08602356704501059,0.9658275573709989,0.9510147162276295,0.9786248226946485
52,noisy,Output1,rbf,440,0.18500458111295226,0.17341214229032703,0.19698099508740974,0.15430123849204766,0.14454462689398845,0.16399355641976107,0.7725176358222342,0.6207266078361543,0.86923236656606
52,noisy,Output2,cubic,120,0.8603856032547728,0.8032788662143323,0.9207017777590776,0.7550561185842282,0.7051748934894505,0.8129604831094525,-1.2427986144480982,-2.3377177835734786,-0.31161534902038723
52,noisy,Output2,rbf,440,1.4465917558150025,1.37279591127864,1.5283668315975945,1.2388135046174307,1.1754993445670954,1.304496166443644,-2.9076588328421096,-4.025678205850808,-1.8567239262339903
52,noisy,Output3,cubic,111,1.5739210490652722,1.4435559905208135,1.6987026940972965,1.3579117965049048,1.2413499768414362,1.4694189293721158,-7.435851392863287,-11.167276204955684,-4.55004581527975
52,noisy,Output3,rbf,440,3.3343035400774923,3.1476986275585124,3.527515215408187,2.817957419454886,2.659966855108359,2.971123660196681,-43.998894138378326,-58.3941078810087,-32.11465129069474
62,noise_free,Output1,cubic,133,0.04801035430572188,0.039237570075251124,0.05756568938434176,0.04309519925482964,0.03503295761618308,0.051925503319111485,0.9876584745311348,0.9822077822735932,0.9923645897324471
62,noise_free,Output1,rbf,440,0.058264184300031975,0.0529164967403821,0.06332551491260915,0.04945712230878629,0.045177387924030234,0.05399936052707708,0.9867064124349982,0.9815762222069853,0.9904775634883529
62,noise_free,Output2,cubic,118,0.1547049825460122,0.12690488220598792,0.1829567809064587,0.11196586021016315,0.08882108840117206,0.1337968704298815,0.8992705862667311,0.7441050170236113,0.9859407333583037
62,noise_free,Output2,rbf,440,0.137350340358207,0.12382987306087792,0.15047676673467147,0.11327942889337318,0.10235405597633239,0.12467427000631319,0.8793435066545303,0.7758554641488477,0.9614796079219218
62,noise_free,Output3,cubic,103,0.007463266243314398,0.0068505988300400535,0.008105758315712303,0.006534537085725483,0.005932629992733462,0.007145614331777733,0.999778470498088,0.9996867334378677,0.9998542347298788
62,noise_free,Output3,rbf,440,0.060153974329816264,0.05332255770551503,0.06888997934476841,0.04821663447433604,0.04206300779970617,0.05597787267289131,0.9783591264532137,0.9688297961150478,0.9866218031338586
62,noisy,Output1,cubic,103,0.09449130722887751,0.08625625673387596,0.1028851536475259,0.08372756635218126,0.07611683004518657,0.09156310515849327,0.9685680884878763,0.9575894711864248,0.9768166828928238
62,noisy,Output1,rbf,440,0.19321241085007343,0.18311394739787554,0.20330325422658416,0.1666216406260056,0.1572071948787682,0.17630987663142095,0.8363908416693371,0.7745994926623716,0.8851492247974342
62,noisy,Output2,cubic,120,1.0954963770804507,0.9930876896045734,1.2062021057897552,0.9645694449467704,0.8665033381138054,1.0641283616046149,-0.8751016682918308,-1.884138567209728,-0.047298895215824484
62,noisy,Output2,rbf,440,1.8406930372994543,1.7286480708311973,1.9487946998096983,1.584323891612528,1.4907948808670934,1.684623015506642,-7.550490437466126,-10.96047718587515,-4.668793944473534
62,noisy,Output3,cubic,127,1.9532854640353776,1.8126450398747938,2.1003870484159712,1.7399549733299482,1.6110944734498538,1.8714063276957982,-12.550770759625651,-16.258250240704218,-9.743640705939503
62,noisy,Output3,rbf,440,4.19123090670074,3.987299779107748,4.419433558396309,3.707616813349714,3.518759418008103,3.912194792159782,-67.46223289654608,-88.013513923992,-51.40486179413405
72,noise_free,Output1,cubic,116,0.04468869265957997,0.0370121107805016,0.053895386159455876,0.0394342599085488,0.032025260679301074,0.04687306706958147,0.991417992337744,0.9872104535184522,0.9947122208361193
72,noise_free,Output1,rbf,440,0.06292447820278417,0.05755754403027466,0.06879752709510584,0.0535150370947726,0.048426093579889834,0.058614151902660415,0.9864181182936272,0.9825634163878073,0.9896002845109578
72,noise_free,Output2,cubic,114,0.17587725461692597,0.14377853438961072,0.20642162837801106,0.13393958929248265,0.10700142360121619,0.16365177516538837,0.6405358826650474,0.07460094464173753,0.9429762778558611
72,noise_free,Output2,rbf,440,0.13698791179342476,0.12508694436566353,0.15011581157621018,0.11256470318381055,0.10235546991893142,0.12354092453587164,0.8391530512424079,0.6329548838485081,0.9634000845647962
72,noise_free,Output3,cubic,127,0.0074367151238431415,0.006797700666429645,0.008082282230614066,0.006599355140738756,0.005972213331312132,0.007280754615904428,0.9997303627906525,0.9996340092400035,0.999814068521776
72,noise_free,Output3,rbf,440,0.05128842213585106,0.046352600332169626,0.05651294630313918,0.04060130426819164,0.03649051058184723,0.04478324142430359,0.9840401244851065,0.9773339275975083,0.9898902779474387
72,noisy,Output1,cubic,127,0.09966041353769885,0.09152493854474007,0.10793370480579127,0.08892857934520604,0.08161348940207902,0.09718933531363359,0.9720212020347786,0.9654634805457486,0.978101840578607
72,noisy,Output1,rbf,440,0.15600544297065702,0.14830019591645463,0.16319095459169586,0.13429262809058706,0.12789548485168128,0.14092009322229102,0.9079638623906264,0.8837713254656246,0.9287767142144135
72,noisy,Output2,cubic,127,0.8458103275797574,0.7746661815957977,0.9220556087034919,0.754935747610502,0.6847615662642783,0.830119497375033,0.10456125006078563,-0.23394296271165668,0.41294241609025395
72,noisy,Output2,rbf,440,1.6657791337105017,1.5659445269548564,1.760787262266915,1.435066554117352,1.3558272872651729,1.5235978613632206,-6.007167199689093,-8.728933814417148,-3.658758977782236
72,noisy,Output3,cubic,119,1.7412652664009116,1.6053354772497814,1.8826294208053431,1.5431080860359807,1.418141963889602,1.6705276168784848,-11.363311857647208,-20.96742514873035,-5.239417783894671
72,noisy,Output3,rbf,440,3.612943827341115,3.4355706234802836,3.777380080571657,3.1537605250873866,2.9931248082004744,3.31524895300053,-63.427157501660815,-91.2551482641308,-45.04770485311368
82,noise_free,Output1,cubic,118,0.03780689261557388,0.03099158106258608,0.04555830448649313,0.03303856276409426,0.02677843814044716,0.04030935160399187,0.9925036592673894,0.9877478056158338,0.9962010382385802
82,noise_free,Output1,rbf,440,0.05879614893530825,0.05408497696899478,0.063835157477896,0.049745030424766246,0.045921263474745046,0.05375159489220875,0.9816780819660049,0.9710408168382637,0.989539760561954
82,noise_free,Output2,cubic,114,0.16321788267903187,0.13310167182194482,0.1959214069202117,0.12556623941677414,0.09575037138510474,0.15760378055119287,0.5654125214480218,-0.07791528118447712,0.9153508260320209
82,noise_free,Output2,rbf,440,0.13896548531479624,0.12699215539101322,0.15164966798173174,0.11544971011355912,0.10501233729410347,0.12568916462885543,0.8600997593361671,0.6480377044511898,0.9711846295151083
82,noise_free,Output3,cubic,108,0.0073075696818923975,0.006529696549253252,0.008058621183341027,0.006484245820188487,0.005781430710311893,0.007304264230859214,0.9996591597374445,0.9994325236595433,0.9998097988044701
82,noise_free,Output3,rbf,440,0.06577215062987457,0.05596194643547937,0.07736732239998985,0.05329355111508298,0.04477516566073137,0.06297556260438711,0.9797769033421538,0.9721297697699923,0.9872633740757277
82,noisy,Output1,cubic,111,0.10204761905343565,0.09262645902308926,0.11173691707398198,0.09073341242540918,0.08257310723233757,0.0988280164543342,0.9687564748488825,0.9612334261174766,0.9756684558315162
82,noisy,Output1,rbf,440,0.1997241780824824,0.18842494678245317,0.21060643790786446,0.1712702435385525,0.16206544283870397,0.1808176237835217,0.8498235785422273,0.8066356256271747,0.8854619524155001
82,noisy,Output2,cubic,120,0.801400637939349,0.7305352984268372,0.8739723509851516,0.6768182079931125,0.6159668104643649,0.7394819048198472,-0.2681791341705645,-0.9311347267216344,0.30557813825583363
82,noisy,Output2,rbf,440,1.8985905579989533,1.8098776012475715,1.9964157601887706,1.593829585599417,1.517572993139502,1.6707022294893046,-5.831814232492093,-8.091600038252759,-3.8723537000394317
82,noisy,Output3,cubic,106,1.7822983992431434,1.620149173999361,1.9581158617896606,1.5723153323839045,1.429284098724395,1.725051197868522,-8.915310476054263,-12.534369536573159,-6.047746609296404
82,noisy,Output3,rbf,440,3.744368836964284,3.5681288912615283,3.9363291684033226,3.2636548721524523,3.1110937404036694,3.4186324808376454,-57.200619108082066,-74.07602122099233,-43.40294729034985
